stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
47,0.5,8.0,49.233777707995614,,49.225262583000585,49.233777707995614,49.72131054097554,49.72131054097554,49.72727558299084,50.007915957976365,50.290055958001176,right,8.0,1,1,0.5585964159981813,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
48,0.5,8.0,50.299000165978214,,50.29035491598188,50.299000165978214,50.78784516599262,50.78784516599262,50.79225479098386,51.07518849999178,51.36119066597894,left,-8.0,1,1,0.5688635419937782,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
49,0.5,7.5,51.37035391599056,,51.361520915990695,51.37035391599056,51.859876915987115,51.859876915987115,51.859876915987115,52.1545102079981,52.407360290992074,right,7.5,1,1,0.538972208974883,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
50,0.5,7.5,52.4165955829958,,52.40786641597515,52.4165955829958,52.90447754098568,52.90447754098568,52.9098138329864,53.19189687498147,53.37557358297636,right,7.5,1,1,0.46558595800888725,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
51,0.5,7.5,53.384624375001295,,53.37605916598113,53.384624375001295,53.871148665988585,53.871148665988585,53.87594649998937,54.1591855000006,54.49366070798715,right,7.5,1,1,0.6188548330101185,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
52,0.5,7.0,54.50359404098708,,54.49399887499749,54.50359404098708,54.9933253749914,54.9933253749914,54.9933253749914,55.28772795799887,56.37757662497461,right,7.0,1,1,1.3810186659975443,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
53,0.5,7.0,56.386994540982414,,56.377906707988586,56.386994540982414,56.876316124980804,56.876316124980804,56.876316124980804,57.17120649997378,58.12774591599009,left,-7.0,1,1,1.246825959009584,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
54,0.5,7.0,58.1369746249984,,58.12809862499125,58.1369746249984,58.62618908297736,58.62618908297736,58.62618908297736,58.921126790985,59.47803199998452,left,-7.0,1,1,0.8477341669786256,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
55,0.5,6.5,59.48705233298824,,59.478342916001566,59.48705233298824,59.976523457997246,59.976523457997246,59.976523457997246,60.274786040972685,60.54437683298602,right,6.5,1,1,0.5634151249832939,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
56,0.5,6.5,60.553585290996125,,60.544695915974444,60.553585290996125,61.04329541599145,61.04329541599145,61.04329541599145,61.33772604097612,62.32769312500022,left,-6.5,1,1,1.2804619589878712,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
